parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValue,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,EEA_3133-01-5,total,water,mg{O2}/L,2009,2009-01--2009-12,0.3333,ES080MSPF10-03,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.008372,ES080MSPF10-03,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3161-03-3,total,water,mg{N}/L,2009,2009-01--2009-12,0.1602,ES080MSPF10-03,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,EEA_3133-06-0,total,water,mg/L,2016,2015-10-01--2016-09-30,3.6,ES060MSBT060-022,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7440-47-3,total,water,ug/L,2016,2015-10-01--2016-09-30,1.0,ES060MSBT060-022,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7440-50-8,total,water,ug/L,2016,2015-10-01--2016-09-30,3.64,ES060MSBT060-022,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3133-03-7,total,water,mg{O2}/L,2009,2009-01--2009-12,1.6667,ES091MSPF493,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3161-01-1,total,water,mg{N}/L,2009,2009-01--2009-12,0.1667,ES091MSPF493,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.0054,ES091MSPF493,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_56-38-2,total,water,ug/L,2016,2015-10-01--2016-09-30,0.01,ES060MSBT060-039,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_16984-48-8,total,water,ug/L,2016,2015-10-01--2016-09-30,470.0,ES060MSBT060-039,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7439-89-6,total,water,ug/L,2016,2015-10-01--2016-09-30,30.4,ES060MSBT060-039,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_108-95-2,total,water,ug/L,2016,2015-10-01--2016-09-30,50.0,ES060MSBT060-039,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_94-74-6,total,water,ug/L,2016,2015-10-01--2016-09-30,0.05,ES060MSBT060-039,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3142-01-6,total,water,uS/cm,2012,2012-01--2012-12,595.75,LT130100013,Lithuania,44.7230757742448,17.622537763760466,1538269.0,0.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92
RW,EEA_3152-01-0,total,water,[pH],2012,2012-01--2012-12,7.30083,LT410100016,Lithuania,44.7230757742448,17.622537763760466,1538269.0,0.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92
RW,EEA_3151-01-7,total,water,mmol/L,2012,2012-01--2012-12,6.2,LT130100013,Lithuania,44.7230757742448,17.622537763760466,1538269.0,0.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2012,2012-01--2012-12,20.76630441,LT410100012,Lithuania,44.7230757742448,17.622537763760466,1538269.0,0.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92
GW,CAS_886-50-0,total,water,ug/L,2016,2015-10-01--2016-09-30,0.05,ES060MSBT060-037,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_56-23-5,total,water,ug/L,2016,2015-10-01--2016-09-30,0.5,ES060MSBT060-037,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
