parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValue,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,EEA_3151-01-7,total,water,mmol/L,2009,2009-01--2009-12,0.2068,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,2.4777919,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.0133,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7440-43-9,total,water,ug/L,2016,2015-10-01--2016-09-30,25.0,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_16887-00-6,total,water,mg/L,2016,2015-10-01--2016-09-30,328.38,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_67-66-3,total,water,ug/L,2016,2015-10-01--2016-09-30,5.41,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_2921-88-2,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.0147,ES10603,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_35065-27-1,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_35065-29-3,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_608-93-5,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_127-18-4,total,water,ug/L,2016,2015-10-01--2016-09-30,2.5,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3164-08-7,total,water,{massRatio},2009,2009-01--2009-12,90.3327,ES12086,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.0081143999999999,ES12086,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3164-07-6,total,water,{massRatio},2009,2009-01--2009-12,64.5267,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3161-02-2,total,water,mg{N}/L,2009,2009-01--2009-12,0.5478,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,6.6396,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_1610-18-0,total,water,ug/L,2016,2015-10-01--2016-09-30,0.05,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7287-19-6,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7440-66-6,total,water,ug/L,2016,2015-10-01--2016-09-30,106.03,ES040MSBT000030596,Spain,93.6771974435832,15.047884084971097,50941692.0,6.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,3.8253707,ES030MSPF0319010,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7429-90-5,total,water,ug/L,2016,2015-10-01--2016-09-30,100.0,ES040MSBT000030598,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3121-01-5,total,water,Cel,2009,2009-01--2009-12,9.1,ES020MSPF000000382,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3152-01-0,total,water,[pH],2012,2012-01--2012-12,8.14583,LT122111303,Lithuania,44.7230757742448,17.622537763760466,1538269.0,0.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,7.7047507999999985,ES020MSPF000200509,Portugal,112.2619412173,14.289474436432974,7024884.0,4.0,-21250.125,0.0018023353028219,21.179404364691845,11.178816281655369,231745178666.337,36.49,6.73,1.85,27.680000000000003,13.64,10.72,0.0,0.93,1.94,16.23
RW,EEA_3133-01-5,total,water,mg{O2}/L,2009,2009-01--2009-12,1.8778,ES020MSPF000000454,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.10948,BG4ST700R021,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,2.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.205,BG4ST700R021,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,2.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.221,BG4ST400R1072,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,0.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,100.525,BG3AR700R039,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,2.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,0.6773309999999999,BG3AR100R002,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,0.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,1.3059649999999998,BG3AR500R020,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,65.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3133-03-7,total,water,mg{O2}/L,2009,2009-01--2009-12,17.35,BG3AR700R029,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3161-01-1,total,water,mg{N}/L,2009,2009-01--2009-12,1.4,BG3AR700R029,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,3.665556,BG3AR700R029,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3142-01-6,total,water,uS/cm,2009,2009-01--2009-12,384.667,BG3AR400R074,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3121-01-5,total,water,Cel,2009,2009-01--2009-12,13.8,BG3AR400R074,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,104.05,BG3AR100R006,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,5.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,99.95,BG4ME100R113,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3133-01-5,total,water,mg{O2}/L,2009,2009-01--2009-12,2.595,BG4ST300R073,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,0.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3133-03-7,total,water,mg{O2}/L,2009,2009-01--2009-12,34.725,BG4ST600R1036,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,4.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3161-01-1,total,water,mg{N}/L,2009,2009-01--2009-12,1.965,BG4ST600R1036,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,4.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3133-02-6,total,water,mg{O2}/L,2012,2012-01--2012-12,1.3075,LT140101603,Lithuania,44.7230757742448,17.622537763760466,1538269.0,0.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.68,BG3AR500R020,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,65.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.114632,BG3AR700R029,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.092,BG3AR400R074,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,100.6,BG3AR400R074,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.207,BG4ME100R113,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3121-01-5,total,water,Cel,2009,2009-01--2009-12,12.544,BG4ME100R113,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3133-06-0,total,water,mg{C}/L,2009,2009-01--2009-12,3.508,BG4ME100R113,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14797-65-0,total,water,mg{NO2}/L,2009,2009-01--2009-12,0.0578072,BG4ST700R017,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,2.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
GW,CAS_330-54-1,total,water,ug/L,2016,2015-10-01--2016-09-30,0.05,ES060MSBT060-047,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_959-98-8,total,water,ug/L,2016,2015-10-01--2016-09-30,0.01,ES060MSBT060-047,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_33213-65-9,total,water,ug/L,2016,2015-10-01--2016-09-30,0.01,ES060MSBT060-047,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.03864,BG4ST700R017,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,2.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3133-03-7,total,water,mg{O2}/L,2009,2009-01--2009-12,10.0,BG4ST300R073,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,0.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3142-01-6,total,water,uS/cm,2009,2009-01--2009-12,312.75,BG4ST600R1036,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,4.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.715,BG4ST600R1036,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,4.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,74.0,BG4ST700R021,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,2.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3142-01-6,total,water,uS/cm,2009,2009-01--2009-12,377.875,BG4ST400R1072,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,0.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.769,BG4ST400R1072,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,0.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3133-01-5,total,water,mg{O2}/L,2009,2009-01--2009-12,1.3,BG4ST800R016,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,1.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.6491520000000001,BG4ST400R1072,Bulgaria,64.7110998526161,28.29370430483317,4836884.0,0.0,-6059.125,0.008553160446462,10.928049723307288,5.4781760692042765,56792405577.3656,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,0.9943042,ES080MSPF10-03,Spain,93.6771974435832,15.047884084971097,50941692.0,1.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14797-65-0,total,water,mg{NO2}/L,2009,2009-01--2009-12,0.00755435,ES080MSPF10-03,Spain,93.6771974435832,15.047884084971097,50941692.0,1.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3133-06-0,total,water,mg{C}/L,2009,2009-01--2009-12,2.6333,ES080MSPF10-03,Spain,93.6771974435832,15.047884084971097,50941692.0,1.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3133-04-8,total,water,mg{O2}/L,2012,2012-01--2012-12,14.1167,LT130110105,Lithuania,44.7230757742448,17.622537763760466,1538269.0,0.0,-38764.875,0.0,11.09062194824219,12.938290420597331,45735444769.2075,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.6,0.0,22.92
RW,EEA_3133-03-7,total,water,mg{O2}/L,2009,2009-01--2009-12,1.8889,ES030MSPF0112010,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3161-01-1,total,water,mg{N}/L,2009,2009-01--2009-12,1.0834,ES030MSPF0112010,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.0033,ES12043,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3133-03-7,total,water,mg{O2}/L,2009,2009-01--2009-12,5.2083,ES030MSPF0522011,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3161-01-1,total,water,mg{N}/L,2009,2009-01--2009-12,0.1667,ES030MSPF0522011,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.0517,ES030MSPF0522011,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,6.266861199999999,ES12113,Spain,93.6771974435832,15.047884084971097,50941692.0,6.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2009,2009-01--2009-12,0.004134026,ES12113,Spain,93.6771974435832,15.047884084971097,50941692.0,6.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,79.7667,ES12113,Spain,93.6771974435832,15.047884084971097,50941692.0,6.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,32.00189759999999,ES12120,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3133-01-5,total,water,mg{O2}/L,2009,2009-01--2009-12,0.3333,ES030MSPF0526010,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.0256312,ES030MSPF0526010,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3121-01-5,total,water,Cel,2009,2009-01--2009-12,13.175,ES030MSPF0522011,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3161-05-5,total,water,mg{N}/L,2009,2009-01--2009-12,0.0439,ES030MSPF0522011,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,EEA_3164-08-7,total,water,{massRatio},2009,2009-01--2009-12,0.6157,ES12113,Spain,93.6771974435832,15.047884084971097,50941692.0,6.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.2100728,ES12113,Spain,93.6771974435832,15.047884084971097,50941692.0,6.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
